Wall time,Step,Value
1620367474,85984,0.868225694
1620367480,86016,0.868240297
1620367491,86080,0.868225276
1620367496,86112,0.868200064
1620367535,86336,0.868255138
1620367608,86752,0.868475318
1620367636,86912,0.868462205
1620367686,87200,0.868452966
1620367697,87264,0.868467331
1620367708,87328,0.868450642
1620367747,87552,0.868454397
1620367820,87968,0.868555069
1620367831,88032,0.868599892
1620367864,88224,0.868715942
1620367909,88480,0.868612111
1620367943,88672,0.868714273
1620367948,88704,0.868715048
1620367976,88864,0.86878252
1620368697,89024,0.86153847
1620368737,89248,0.873594284
1620368781,89504,0.875229359
1620368804,89632,0.87383914
1620368826,89760,0.873634517
1620368898,90176,0.873202562
1620368909,90240,0.873194754
1620368920,90304,0.872676551
1620368937,90400,0.872874737
1620368965,90560,0.873789847
1620369059,91104,0.874184132
1620369087,91264,0.873915374
1620369186,91840,0.874522746
1620369209,91968,0.874304175
1620369225,92064,0.874466598
1620369255,92224,0.874607563
1620369296,92448,0.874731302
1620369318,92576,0.874654412
1620369330,92640,0.874601007
1620369364,92832,0.874249637
1620369369,92864,0.874287784
1620369403,93056,0.874412656
1620369442,93280,0.874551594
1620369476,93472,0.87466073
1620369492,93568,0.874525368
1620369526,93760,0.874414206
1620369587,94112,0.874332905
1620369598,94176,0.874209344
1620369653,94496,0.874441266
1620369670,94592,0.874361992
1620369681,94656,0.874352753
1620369709,94816,0.874397099
1620369797,95328,0.874705613
1620369808,95392,0.874659956
1620369842,95584,0.874580204
1620369864,95712,0.874717712
1620369875,95776,0.87477994
1620369952,96224,0.87482363
1620370019,96608,0.875016332
1620370047,96768,0.875124037
1620370113,97152,0.875125885
1620370119,97184,0.875068367
1620370152,97376,0.87514478
1620370158,97408,0.875184953
1620370235,97856,0.875375807
1620370257,97984,0.875446677
1620370268,98048,0.87545383
1620370279,98112,0.875440419
1620370296,98208,0.875459492
1620370313,98304,0.875501633
1620370407,98848,0.875682592
1620370468,99200,0.875695705
1620370474,99232,0.875708759
1620370507,99424,0.875603199
1620370546,99648,0.875844896
1620370679,100416,0.875853717
1620370712,100608,0.875820875
1620370723,100672,0.87582171
1620370840,101344,0.875721633
1620370857,101440,0.875793695
1620370879,101568,0.875847638
1620370884,101600,0.875840545
1620370890,101632,0.875796497
1620370923,101824,0.875898778
1620370940,101920,0.875959635
1620370951,101984,0.875952482
1620371001,102272,0.87600702
1620371040,102496,0.876126528
1620371068,102656,0.876302719
1620371112,102912,0.876350522
1620371134,103040,0.876284957
1620371157,103168,0.876302004
1620371229,103584,0.876450837
1620371240,103648,0.876457274
1620371257,103744,0.876483738
1620371323,104128,0.876510084
1620371345,104256,0.876558721
1620371373,104416,0.876548648
1620371384,104480,0.876592577
1620371439,104800,0.876627505
1620371450,104864,0.876615047
1620371461,104928,0.876624227
1620371533,105344,0.876640201
1620371622,105856,0.87653321
1620371649,106016,0.876538932
1620371688,106240,0.87648648
1620372536,107040,0.871539772
1620372541,107072,0.872371495
1620372547,107104,0.873849154
1620372586,107328,0.877978742
1620372641,107648,0.878274798
1620372686,107904,0.879309416
1620372725,108128,0.880378544
1620372747,108256,0.880107999
1620372809,108608,0.879409015
1620372842,108800,0.879758418
1620372876,108992,0.879824877
1620372892,109088,0.879800498
1620372976,109568,0.880557775
1620372998,109696,0.88026315
1620373059,110048,0.88011831
1620373087,110208,0.880523205
1620373115,110368,0.880382597
1620373137,110496,0.880190253
1620373142,110528,0.880162835
1620373203,110880,0.879934609
1620373209,110912,0.879799008
1620373270,111264,0.880428791
1620373281,111328,0.880523562
1620373286,111360,0.880505562
1620373325,111584,0.880399108
1620373342,111680,0.880490482
1620373348,111712,0.880543232
1620373353,111744,0.880564034
1620373387,111936,0.880731702
1620373509,112640,0.880354285
1620373604,113184,0.880027771
1620373631,113344,0.879739881
1620373637,113376,0.879745305
1620373648,113440,0.879788637
1620373692,113696,0.879868627
1620373759,114080,0.879937589
1620374015,115552,0.880049169
1620374092,116000,0.88021338
1620374098,116032,0.880242586
1620374159,116384,0.880310535
1620374164,116416,0.880315542
1620374175,116480,0.880312741
1620374186,116544,0.880408823
1620374203,116640,0.880372107
1620374208,116672,0.880376875
1620374219,116736,0.880426884
1620374347,117472,0.880681038
1620374375,117632,0.880732477
1620374391,117728,0.880807579
1620374408,117824,0.880731821
1620374436,117984,0.880733669
1620374497,118336,0.880737484
1620374547,118624,0.880708873
1620374563,118720,0.880652606
1620374569,118752,0.880647957
1620374619,119040,0.88062495
